UN;ISO;name;short_name
334;HM;ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД;О.ХЕРД И МАКДОНАЛЬД
336;VA;ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО ГОРОД ВАТИКАН);ПАП. ПРЕСТ.(ВАТИКАН)
340;HN;Республика Гондурас;ГОНДУРАС
344;HK;Специальный административный регион Китая Гонконг;ГОНКОНГ
348;HU;Венгерская Республика;ВЕНГРИЯ
352;IS;Республика Исландия;ИСЛАНДИЯ
356;IN;Республика Индия;ИНДИЯ
360;ID;Республика Индонезия;ИНДОНЕЗИЯ
364;IR;Исламская Республика Иран;ИРАН, ИСЛАМ.РЕСП.
368;IQ;Республика Ирак;ИРАК
372;IE;ИРЛАНДИЯ;ИРЛАНДИЯ
376;IL;Государство Израиль;ИЗРАИЛЬ
380;IT;Итальянская Республика;ИТАЛИЯ
384;CI;Республика Кот-д` Ивуар;КОТ-Д` ИВУАР
388;JM;ЯМАЙКА;ЯМАЙКА
392;JP;ЯПОНИЯ;ЯПОНИЯ
398;KZ;Республика Казахстан;КАЗАХСТАН
400;JO;Иорданское Хашимитское Королевство;ИОРДАНИЯ
404;KE;Республика Кения;КЕНИЯ
408;KP;Корейская Народно-Демократическая Республика;КОРЕЯ, НАР.ДЕМ.РЕСП.
410;KR;Республика Корея;КОРЕЯ, РЕСПУБЛИКА
414;KW;Государство Кувейт;КУВЕЙТ
417;KG;Киргизская Республика;КИРГИЗИЯ
418;LA;Лаосская Народно-Демократическая Республика (ЛНДР);ЛАОССКАЯ НАР-ДЕМ.РЕС
422;LB;Ливанская Республика;ЛИВАН
426;LS;Королевство Лесото;ЛЕСОТО
428;LV;Латвийская Республика;ЛАТВИЯ
430;LR;Республика Либерия;ЛИБЕРИЯ
434;LY;Социалистическая Народная Ливийская Арабская Джамахирия;ЛИВИЙСК.АРАБ.ДЖАМАХ.
438;LI;Княжество Лихтенштейн;ЛИХТЕНШТЕЙН
440;LT;Литовская Республика;ЛИТВА
442;LU;Великое Герцогство Люксембург;ЛЮКСЕМБУРГ
446;MO;Специальный административный регион Китая Макао;МАКАО
450;MG;Республика Мадагаскар;МАДАГАСКАР
454;MW;Республика Малави;МАЛАВИ
458;MY;МАЛАЙЗИЯ;МАЛАЙЗИЯ
462;MV;Мальдивская Республика;МАЛЬДИВЫ
466;ML;Республика Мали;МАЛИ
470;MT;Республика Мальта;МАЛЬТА
474;MQ;МАРТИНИКА (Фр.);МАРТИНИКА
478;MR;Исламская Республика Мавритания;МАВРИТАНИЯ
480;MU;Республика Маврикий;МАВРИКИЙ
484;MX;Мексиканские Соединенные Штаты;МЕКСИКА
492;MC;Княжество Монако;МОНАКО
496;MN;МОНГОЛИЯ;МОНГОЛИЯ
498;MD;Республика Молдова;МОЛДОВА, РЕСПУБЛИКА
499;ME;ЧЕРНОГОРИЯ;ЧЕРНОГОРИЯ
500;MS;МОНТСЕРРАТ (Брит.);МОНТСЕРРАТ
504;MA;Королевство Марокко;МАРОККО
508;MZ;Республика Мозамбик;МОЗАМБИК
512;OM;Султанат Оман;ОМАН
516;NA;Республика Намибия;НАМИБИЯ
520;NR;Республика Науру;НАУРУ
524;NP;Федеративная Демократическая Республика Непал;НЕПАЛ
528;NL;Королевство Нидерланды;НИДЕРЛАНДЫ
531;CW;Кюрасао;Кюрасао
533;AW;Остров Аруба;АРУБА
534;SX;СЕН-МАРТЕН (нидерландская часть);СЕН-МАРТЕН (нидер.ч)
535;BQ;БОНЭЙР, СИНТ- ЭСТАТИУС И САБА;Бонэйр,Синт-э и Саба
540;NC;НОВАЯ КАЛЕДОНИЯ;НОВАЯ КАЛЕДОНИЯ
548;VU;Республика Вануату;ВАНУАТУ
554;NZ;НОВАЯ ЗЕЛАНДИЯ;НОВАЯ ЗЕЛАНДИЯ
558;NI;Республика Никарагуа;НИКАРАГУА
562;NE;Республика Нигер;НИГЕР
566;NG;Федеративная Республика Нигерия;НИГЕРИЯ
570;NU;Республика Ниуэ;НИУЭ
574;NF;ОСТРОВ НОРФОЛК (Австрал.);ОСТРОВ НОРФОЛК
578;NO;Королевство Норвегия;НОРВЕГИЯ
580;MP;Содружество Северных Марианских Островов;СЕВ. МАРИАНСКИЕ О-ВА
