cartype;name;short_name
3240;Транспортеры сочлененные 28-осные, грузоподъемностью 400 т;ТРСЧ28
3250;Транспортеры сочлененные 32-осные, грузоподъемностью 500 т;ТРСЧ32
3290;Транспортеры сочлененные, к.п.о.;ТРСЧПР
3300;Транспортеры сцепные;ТРСЦ
3310;Транспортеры 8-осные сцепленные с одной промежуточной платформой;ТРСЦ8А
3320;Транспортеры 8-осные сцепленные с двумя промежуточными платформой;ТРСЦ8Б
3340;Транспортеры 16-осные сцепленные с одной промежуточной платформой;ТРСЦ16
3360;Транспортеры сцепные 24-осные;ТРСЦ24
3380;Транспортеры сцепные 32-осные;ТРСЦ32
3390;Транспортеры сцепные, к.п.о.;ТРСЦПР
3400;Отдельные секции (платформы) сцепного транспортера;ТРСЦО
3410;Крайние 4-осные платформы сцепного транспортера;ТРСЦК4
3420;Крайние 8-осные платформы сцепного транспортера;ТРЦСК8
3430;Крайние 12-осные платформы сцепного транспортера;ТРЦСКА
3440;Крайние 16-осные платформы сцепного транспортера;ТРЦСКБ
3450;Средние 4-осные платформы сцепного транспортера;ТРЦСС4
3460;Средние 6-осные платформы сцепного транспортера;ТРЦСС6
3470;Одна секция 24-осного сцепного транспортера;ТРСЕКЦ
3500;Транспортеры, кроме сцепных и сочлененных;ТРПРУ
3600;Транспортеры площадочные;ТРПЩ
3610;Транспортеры площадочные 4-осные;ТРПЩ4
3630;Транспортеры площадочные 8-осные;ТРПЩ8
3640;Транспортеры площадочные 12-осные;ТРПЩ12
3650;Транспортеры площадочные 16-осные;ТРПЩ16
3700;Транспортеры платформенные;ТРПЛ
3710;Транспортеры платформенные 4-осные;ТРПЛ4
3720;Транспортеры платформенные 6-осные;ТРПЛ6
3730;Транспортеры платформенные 8-осные;ТРПЛ8
3800;Транспортеры колодцевые;ТРКЛ
3810;Транспортеры колодцевые 4-осные;ТРКЛ4
3820;Транспортеры колодцевые 6-осные;ТРКЛ6
3830;Транспортеры колодцевые 8-осные;ТРКЛ8
3840;Транспортеры колодцевые 12-осные;ТРКЛ12
3850;Транспортеры колодцевые 16-осные;ТРКЛ16
3900;Транспортеры, к.п.о.;ТРПР
4000;Платформы;ПЛАТФР
4100;Платформы универсальные;ПЛ
4200;Платформы с наращенными бортами;ПЛНБРТ
4290;Платформы универсальные , к.п.о.;ПЛПРУ
4300;Платформы специализированные;ПЛСПЕЦ
4400;Платформы, оборудованные фитинговыми креплениями для перевозки контейнеров;ФТГ
4410;Платформы для крупнотоннажных контейнеров (фитинговая);ФТГКТК
4420;Платформы для крупнотоннажных контейнеров и колесной техники (фитинговая с длиной рамы более 13,4 м);ФТГДЛН
4430;Платформы для крупнотоннажных контейнеров (фитинговая, с длиной рамы 13,4 м и менее);ФТГКРТ
4440;Платформы для контрейлеров;ФТГКЛР
4500;Платформы с несъемным оборудованием для металлопродукции (в т. ч. продукции из стали);СТАЛ
4510;Платформы для металлопродукции в рулонах;РЛВ
4520;Платформы для литой металлопродукции, обрези и заготовок;СТАЛВ
4530;Платформы с несъемным оборудованием для металлопродукции, к.п.о.;СТАЛПР
4600;Платформы для перевозки лесоматериалов;ЛВ
4610;Платформы для перевозки лесоматериалов в хлыстах;ЛВХЛС
4620;Платформы для перевозки лесоматериалов, к.п.о;ЛВПР
4630;Платформы специализированные и модернизированные для перевозки лесоматериалов;ЛВСМ
4700;Платформы для перевозки длинномерных и других специализированных грузов;ПЛДГ
4710;Платформы 4-осные для перевозки длинномерных грузов, к.п.о;ПЛДЛН
4720;Платформы двухъярусные открытые для легковых автомобилей;ПЛ2ЯР
4730;Платформы двухъярусные закрытые для легковых автомобилей;ПЛ2ЯРЗ
4740;Платформы 6-осные для длинномерных грузов;ПЛ6ДЛН
4750;Платформы 6-осные для трансформаторов;ПЛ6ТРФ
4900;Платформы специализированные, к.п.о.;ПЛСППР
6000;Полувагоны;ПВАГОН
6100;Полувагоны универсальные;ПВ
6120;Полувагоны универсальные с открывающимися торцевыми дверями;ПВТД
6130;Полувагоны универсальные открытые с глухими торцевыми стенами;ПВГСТН
6140;Полувагоны универсальные со съемной крышей;ПВКРЫШ
6170;Полувагоны 4-осные с глухим кузовом;ПВГХД
6190;Полувагоны универсальные, к.п.о.;ПВПРУ
6300;Полувагоны специализированные;ПВСПЕЦ
6320;Полувагоны для перевозки среднетоннажных контейнеров;КТВ
6350;Полувагоны 6-8-осные универсального вида;ПВ8
6360;Полувагоны 6-8-осные с разгрузочными люками;ПВ6
6380;Полувагоны 6-8-осные, глуходонные;ПВ8ГХД
6500;Полувагоны специализированные (хопперы);ПВХОП
6510;Полувагоны-хопперы для окатышей и агломерата;ОКТ
6520;Полувагоны-хопперы для угля;ПВУГОЛ
6530;Полувагоны-хопперы для охлажденного кокса;ПВКОКС
6540;Полувагоны-хопперы для торфа;ПВТОРФ
6550;Полувагон хоппер-дозатор для путевого балласта;ХДЗТ
6560;Полувагоны и полувагоны-хопперы для технологической щепы и гидролизного сырья;ЩПВ
6570;Полувагоны-хопперы для инертных сыпучих грузов, к.п.о;ПВНТРЛ
