location_i;city_state_x;region_c;milepost_i;latitude;longitude
70010;Алма-Ата II;НОД-7;70010;43°12'53'';76°46'14''
70020;Медеу;НОД-7;70020;43°23'12'';76°54'17''
70030;Жеты-Cу;НОД-7;70030;43°28'12'';76°56'48''
70040;Байсерке;НОД-7;70040;43°34'4'';77°0'6''
70050;Жетыген;НОД-7;70050;43°41'19'';76°56'19''
70060;Илийская;НОД-7;70060;43°47'31'';76°53'36''
70070;Капчагай;НОД-7;70070;43°51'14'';76°55'33''
70071;Боктер (рзд);НОД-7;70071;43°55'8'';77°1'57''
70072;Кулан-Тобе;НОД-7;70072;43°57'58'';77°6'38''
70080;Коскудук;НОД-7;70080;44°4'40'';77°17'48''
70081;Алтындала (рзд);НОД-7;70081;44°8'3'';77°21'15''
70082;Оп Архарлы;НОД-7;70082;44°10'19'';77°23'34''
70090;Дала;НОД-7;70090;44°12'34'';77°25'52''
70100;Жоломан;НОД-7;70100;44°15'55'';77°25'4''
70101;Сайлы (рзд);НОД-7;70101;44°15'50'';77°28'34''
70110;Малай-Сары;НОД-7;70110;44°15'45'';77°32'5''
70111;Тары (рзд);НОД-7;70111;44°17'2'';77°37'2''
70112;Балгалы;НОД-7;70112;44°18'28'';77°42'36''
70113;Дос (рзд);НОД-7;70113;44°19'55'';77°48'10''
70120;Сары-Озек;НОД-7;70120;44°21'12'';77°53'7''
70121;Койкрыккан (рзд);НОД-7;70121;44°24'36'';77°53'21''
70122;Май-Тобе;НОД-7;70122;44°27'38'';77°53'34''
70123;Тауарасы (рзд);НОД-7;70123;44°30'39'';77°53'46''
70130;Айна-Булак;НОД-7;70130;44°34'3'';77°54'0''
70131;Копр (рзд);НОД-7;70131;44°38'19'';77°52'54''
70132;Моюн-Кум;НОД-7;70132;44°43'38'';77°51'32''
70133;Бахша (рзд);НОД-7;70133;44°48'26'';77°50'18''
70140;Биже;НОД-7;70140;44°53'13'';77°49'4''
70150;Коксу;НОД-7;70150;44°58'28'';77°49'23''
70160;Тентек;НОД-7;70160;44°56'11'';78°0'30''
70170;Карабулак;НОД-7;70170;44°52'34'';78°29'46''
70171;Пл 66 км;НОД-7;70171;44°50'42'';78°38'21''
70180;Талды-Курган;НОД-7;70180;45°0'31'';78°21'22''
70190;Текели;НОД-7;70190;44°48'51'';78°46'56''
70200;Кальпе;НОД-7;70200;45°4'17'';77°50'5''
70201;Пияз (рзд);НОД-7;70201;45°10'45'';77°53'4''
70210;Уш-Тобе;НОД-7;70210;45°14'52'';77°54'58''
70211;Крушдаласы (рзд);НОД-7;70211;45°17'35'';78°0'0''
70212;Разъезд № 47-B;НОД-7;70212;45°19'41'';78°3'55''
70213;Кайракты;НОД-7;70213;45°22'42'';78°9'30''
70214;Караой (рзд);НОД-7;70214;45°25'24'';78°14'32''
70220;Шелек;НОД-7;70220;43°40'18'';77°5'54''
70230;Мулалы;НОД-7;70230;45°27'31'';78°18'27''
70240;Алажиде;НОД-7;70240;45°31'10'';78°25'28''
70241;Егинсу;НОД-7;70241;45°38'35'';78°30'17''
70242;Кумтобе (рзд);НОД-7;70242;45°44'9'';78°33'53''
70243;Ак-Узяк;НОД-7;70243;45°51'6'';78°38'24''
70250;Матай;НОД-7;70250;45°57'8'';78°42'18''
70251;Береке (рзд);НОД-7;70251;46°1'29'';78°45'4''
70252;Жасказах;НОД-7;70252;46°8'27'';78°49'29''
70260;Лепсы;НОД-7;70260;46°15'25'';78°53'55''
70261;Керегетас (рзд);НОД-7;70261;46°17'29'';78°56'2''
70262;Сарыкурак (рзд);НОД-7;70262;46°20'36'';78°59'12''
70263;Арганаты;НОД-7;70263;46°26'8'';79°4'50''
70265;Акбалык;НОД-7;70265;46°32'1'';79°10'49''
70266;Каратас;НОД-7;70266;46°36'10'';79°15'2''
70267;Кокшалпин (рзд);НОД-7;70267;46°39'37'';79°18'33''
70270;Каракум;НОД-7;70270;46°45'30'';79°24'32''
70271;Разъезд № 33-A;НОД-7;70271;46°50'32'';79°30'45''
70280;Капчагай (перев.);НОД-7;70070;43°51'14'';76°55'33''
70300;Эспе;НОД-8;70300;43°57'0'';74°5'43''
70301;Байшешек (рзд);НОД-8;70301;43°55'40'';74°10'46''
70310;Чокпар;НОД-8;70310;43°52'50'';74°21'30''
70311;Ала-Айгир;НОД-8;70311;43°50'6'';74°28'29''
70312;Кулакшино;НОД-8;70312;43°45'14'';74°40'55''
70320;Бель;НОД-8;70320;43°42'12'';74°48'41''
70321;Анрахай;НОД-8;70321;43°39'29'';74°53'4''
70322;Курдай;НОД-8;70322;43°35'17'';74°59'51''
70323;Кулжабасы (рзд);НОД-8;70323;43°33'3'';75°3'27''
70324;Оп Шынырау;НОД-8;70324;43°37'30'';74°56'16''
70330;Отар;НОД-7;70330;43°30'35'';75°7'26''
70331;Кзылтан;НОД-7;70331;43°30'58'';75°15'3''
70340;Чильбастау;НОД-7;70340;43°31'24'';75°23'21''
70341;Жайлау (рзд);НОД-7;70341;43°31'43'';75°32'15''
70350;Копа;НОД-7;70350;43°32'2'';75°41'9''
70351;Саз (рзд);НОД-7;70351;43°32'51'';75°51'59''
70352;Жирен-Айгыр;НОД-7;70352;43°33'33'';76°1'27''
70360;Казыбек-Бек (бывш. Узун-Агач);НОД-7;70360;43°34'13'';76°10'15''
70361;Жингильды;НОД-7;70361;43°30'58'';76°15'6''
70362;Куркудук (рзд);НОД-7;70362;43°27'8'';76°20'50''
70370;Чемолган;НОД-7;70370;43°23'18'';76°26'34''
70371;Оп 4031 км;НОД-7;70371;43°21'36'';76°30'29''
70373;Кокузек;НОД-7;70373;43°20'53'';76°36'31''
70380;Аксенгер (рзд);НОД-7;70380;43°21'11'';76°31'28''
70390;Бурундай;НОД-7;70390;43°20'30'';76°42'49''
70400;Джетысай;НОД-9;70400;41°32'36'';67°51'32''
70410;Сары-Агач (эксп.);НОД-9;69830;41°28'59'';69°6'58''
70420;Дарбаза;НОД-9;70420;41°36'47'';69°1'34''
70430;Кайрат (рзд);НОД-7;70430;43°37'33'';76°59'3''
70440;Луговая (эксп.);НОД-8;70450;42°59'12'';72°43'5''
70450;Луговая;НОД-8;70450;42°59'12'';72°43'5''
70451;Курагаты;НОД-8;70451;43°8'17'';72°56'1''
70452;Татты;НОД-8;70452;43°18'3'';73°9'55''
70453;Аспара;НОД-8;70453;43°28'29'';73°24'46''
70460;Чу;НОД-8;70460;43°37'55'';73°38'11''
70470;Берлик I;НОД-8;70470;43°43'9'';73°43'52''
70471;Оп Берлик II;НОД-8;70471;43°45'11'';73°43'45''
70472;Кемер;НОД-8;70472;43°45'34'';73°47'41''
70473;Оп Кок-Тобе;НОД-8;70473;43°50'25'';73°55'20''
70480;Кундызды;НОД-7;70480;43°39'9'';77°12'44''
70490;Хантау;НОД-8;70490;44°15'37'';73°42'0''
70491;Оп Сункар;НОД-8;70491;44°6'29'';73°42'32''
70492;Жидели;НОД-8;70492;44°0'24'';73°42'52''
70500;Курмангазы;НОД-8;70500;44°34'1'';73°9'45''
70510;Шолпан;НОД-8;70510;44°31'1'';73°58'26''
70520;Кияхты;НОД-8;70520;44°29'5'';73°47'5''
70521;Оп Сарыбулак;НОД-8;70521;44°22'1'';73°44'25''
70523;Акжар (рзд);НОД-8;70523;44°39'15'';73°49'7''
70525;Кара-Cай;НОД-8;70525;44°44'4'';73°50'5''
70526;Бурубайтал;НОД-8;70526;44°53'42'';73°52'1''
70530;Чиганак;НОД-8;70530;45°5'28'';73°54'23''
70532;Ушбалык (рзд);НОД-8;70532;45°13'55'';73°46'21''
70534;Жастар (рзд);НОД-8;70534;45°34'43'';73°32'27''
70535;Кашкен-Тениз;НОД-8;70535;45°46'59'';73°29'54''
70536;Оп Каракамыс;НОД-8;70536;45°39'28'';73°31'28''
70540;Коктас;НОД-8;70540;45°58'52'';73°27'25''
70550;Сары-Шаган;НОД-8;70550;46°3'25'';73°29'43''
70551;Оп Сулыжер;НОД-8;70551;46°12'40'';73°28'18''
70552;Новалы;НОД-8;70552;46°24'39'';73°26'27''
70560;Весна;НОД-8;70560;46°37'10'';73°24'32''
70561;Каражингил;НОД-8;70561;46°48'56'';73°20'4''
70562;Шешенкара;НОД-8;70562;46°59'40'';73°15'59''
70570;Мын-Арал;НОД-8;70570;45°26'48'';73°34'6''
70580;Таскарасу;НОД-7;70580;43°39'42'';77°9'23''
70590;Бурное;НОД-8;70590;42°38'7'';70°46'3''
70591;Сурум;НОД-8;70591;42°40'6'';70°56'7''
70592;Куркуреу-Су;НОД-8;70592;42°41'15'';71°2'2''
70600;Маймак;НОД-8;70600;42°42'39'';71°9'8''
70601;Жуантобе;НОД-8;70601;42°45'19'';71°11'30''
70610;Чальдала;НОД-8;70610;42°49'20'';71°15'4''
70620;Кумшагал (рзд);НОД-8;70620;42°51'27'';71°16'54''
70630;Джамбул;НОД-8;70630;42°54'43'';71°23'31''
70640;Жанатас;НОД-8;70640;43°35'49'';69°41'11''
70641;Чебакты;НОД-8;70641;43°31'15'';69°52'55''
70643;Актаутас;НОД-8;70643;43°19'53'';70°13'14''
70650;Бугунь;НОД-8;70650;43°20'17'';70°4'45''
70660;Каратау;НОД-8;70660;43°10'33'';70°23'33''
70670;Асса;НОД-8;70670;43°2'4'';71°5'29''
70674;Джума-Джамбулская;НОД-8;70674;43°5'0'';70°51'1''
70675;Новоджамбулская;НОД-8;70675;42°55'9'';71°2'12''
70680;Табакбулак;НОД-8;70680;43°25'57'';70°6'32''
70690;Чайкурук;НОД-8;70690;42°59'45'';71°12'37''
70700;Бурул;НОД-8;70700;42°57'58'';71°18'36''
70701;Пут.пост 4 км;НОД-8;70701;42°56'10'';71°21'20''
70710;Талас;НОД-8;70710;42°59'36'';71°31'43''
70720;Уч-Булак;НОД-8;70720;43°0'52'';71°44'49''
70730;Ак-Чулак;НОД-8;70730;43°0'16'';71°53'59''
70740;Акыр-Тюбе;НОД-8;70740;43°0'44'';72°5'8''
70750;Малдыбай;НОД-8;70750;43°1'16'';72°18'10''
70760;Алтынколь;НОД-7;70760;43°38'27'';77°16'52''
70800;Актогай;НОД-7;70800;46°55'0'';79°36'16''
70801;Разъезд № 31-B;НОД-6;70801;46°59'22'';79°38'3''
70802;Жуз-Агач;НОД-6;70802;47°3'43'';79°39'50''
70803;Разъезд № 30-A;НОД-6;70803;47°13'3'';79°43'40''
70810;Разъезд № 8;НОД-7;70810;46°17'47'';80°47'34''
70811;Оп Сайкан;НОД-7;70811;46°24'59'';80°33'46''
70812;Разъезд № 5-A;НОД-7;70812;46°31'53'';80°20'32''
70813;Разъезд № 2-B;НОД-7;70813;46°45'42'';79°54'6''
70814;Оп Колдар;НОД-7;70814;46°51'24'';79°43'10''
70815;Оп Актогай-Восточный;НОД-7;70815;46°53'48'';79°38'34''
70820;Бесколь;НОД-7;70820;46°10'18'';81°2'12''
70821;Оп № 11;НОД-7;70821;46°7'53'';81°8'24''
70822;Оп 172 км;НОД-7;70822;46°3'11'';81°18'56''
70825;Коктума;НОД-7;70825;45°56'8'';81°34'27''
70826;Оп 235 км;НОД-7;70826;45°49'56'';81°48'34''
70830;Жаланашколь;НОД-7;70830;45°45'4'';81°59'39''
70831;Оп 276 км;НОД-7;70831;45°33'42'';82°10'32''
70840;Достык (бывш. Дружба);НОД-7;70840;45°25'31'';82°18'38''
70860;Тансык;НОД-6;70860;47°19'17'';79°46'13''
70861;Оп № 29;НОД-6;70861;47°22'42'';79°49'23''
70862;Ак-Булат;НОД-6;70862;47°27'16'';79°53'36''
70863;Разъезд № 27-A;НОД-6;70863;47°30'42'';79°56'46''
70864;Темекили;НОД-6;70864;47°34'7'';79°59'56''
70865;Жыланды (бывш. Жиланды);НОД-6;70865;47°41'44'';80°6'58''
70866;Оп № 24;НОД-6;70866;47°45'32'';80°10'29''
70867;Кошкентал;НОД-6;70867;47°48'12'';80°12'56''
70868;Разъезд № 22;НОД-6;70868;47°52'0'';80°16'27''
70870;Аягоз;НОД-6;70870;47°55'3'';80°19'16''
70872;Эгыз-Кзыл;НОД-6;70872;48°1'7'';80°20'1''
70873;Алтынколат (рзд);НОД-6;70873;48°4'45'';80°20'28''
70874;Айгыржал;НОД-6;70874;48°9'12'';80°21'2''
70875;Енрекей (рзд);НОД-6;70875;48°13'39'';80°21'35''
70880;Ушбийк;НОД-6;70880;48°19'43'';80°22'20''
70881;Разъезд № 16-A;НОД-6;70881;48°25'52'';80°27'55''
70882;Каракультас;НОД-6;70882;48°32'58'';80°34'22''
70883;Разъезд № 15-C;НОД-6;70883;48°38'10'';80°39'5''
70890;Жарма;НОД-6;70890;48°42'25'';80°42'57''
70891;Нарбота (рзд);НОД-6;70891;48°47'25'';80°46'17''
70892;Копан-Булак;НОД-6;70892;48°51'58'';80°49'20''
70893;Разъезд № 12;НОД-6;70893;48°55'37'';80°51'45''
70894;Балакты-Коль;НОД-6;70894;49°0'10'';80°54'48''
70895;Желдикара (рзд);НОД-6;70895;49°6'5'';80°58'45''
70900;Жангиз-Тобе;НОД-6;70900;49°11'5'';81°2'5''
70901;Разъезд № 9-A;НОД-6;70901;49°16'3'';80°59'48''
70902;Суырлы;НОД-6;70902;49°21'24'';80°57'19''
70903;Разъезд № 7-B;НОД-6;70903;49°26'22'';80°55'2''
70910;Шар;НОД-6;70910;49°29'3'';80°53'48''
70911;Разъезд № 6-B;НОД-6;70911;49°39'29'';80°42'35''
70913;Шалабай;НОД-5;70913;49°34'5'';81°27'6''
70914;Бурсак;НОД-5;70914;49°36'30'';81°43'4''
70915;Екаша;НОД-5;70915;49°38'23'';81°55'33''
70916;Аиртау;НОД-5;70916;49°41'7'';82°13'35''
70917;Улан;НОД-5;70917;49°43'6'';82°26'46''
70920;Суук-Булак;НОД-6;70920;49°49'55'';80°31'22''
70921;Разъезд № 4-A;НОД-6;70921;49°56'33'';80°28'12''
70922;Дельбегетей;НОД-6;70922;50°3'12'';80°25'2''
70923;Разъезд № 3;НОД-6;70923;50°8'4'';80°22'42''
70924;Шоптыхак;НОД-6;70924;50°14'43'';80°19'32''
70925;Разъезд № 1-B;НОД-6;70925;50°19'35'';80°17'12''
70930;Жана-Семей;НОД-6;70930;50°23'12'';80°16'0''
70931;Жалпак;НОД-6;70931;50°25'19'';79°58'57''
70934;Талдынская;НОД-6;70934;50°26'37'';79°35'2''
70935;Оп 71 км;НОД-6;70935;50°28'18'';79°4'10''
70940;Семипалатинск;НОД-6;70940;50°28'22'';80°20'30''
70950;Семипалатинск-Грузовой;НОД-6;70940;50°28'22'';80°20'30''
70951;Дюсакен;НОД-6;70951;50°35'33'';80°24'21''
70960;Чаган;НОД-6;70960;50°29'18'';78°48'6''
70970;Дегелен (бывш. Конечная);НОД-6;70970;50°34'3'';78°1'20''
70980;Куль;НОД-6;70980;50°28'24'';79°2'10''
70990;Сарыжал;НОД-5;70990;49°31'3'';81°6'59''
71000;Разъезд 21 км;НОД-6;71000;47°58'17'';80°19'40''
71020;Теректи (рзд);НОД-11;71020;45°32'13'';55°34'54''
71030;Алтай (рзд);НОД-11;71030;45°24'26'';55°21'34''
71070;Сам;НОД-11;71070;45°39'43'';55°47'14''
71080;Ногайты (рзд);НОД-11;71080;45°47'29'';56°0'54''
71090;Сарша (рзд);НОД-11;71090;46°1'26'';56°25'21''
71100;Локоть;НОД-6;71100;51°21'43'';80°54'6''
71110;Локоть (эксп. на Рубцовск);НОД-6;71100;51°21'43'';80°54'6''
71120;Аул;НОД-6;71120;50°58'33'';80°44'30''
71130;Локоть (эксп. на Малиновое Озеро);НОД-6;71100;51°21'43'';80°54'6''
71139;Обг. Пункт №  41;НОД-6;71139;50°53'2'';80°37'50''
71140;Пп 594 км;НОД-6;71140;50°49'34'';80°34'22''
71150;Бель-Агач;НОД-6;71150;50°46'34'';80°31'0''
71160;Ремовская;НОД-5;71160;51°0'26'';81°11'53''
71161;Сосновый (рзд);НОД-5;71161;51°12'28'';81°1'50''
71170;Неверовская;НОД-5;71170;50°52'14'';81°24'40''
71180;Масальская;НОД-5;71180;50°48'45'';81°31'35''
71190;Третьяково;НОД-5;71190;50°44'18'';81°38'55''
71191;Казахстанский (рзд);НОД-5;71191;50°42'17'';81°40'11''
71210;Шемонаиха;НОД-5;71210;50°40'25'';81°41'21''
71220;Усть-Таловка;НОД-5;71220;50°33'40'';81°41'28''
71230;Рулиха;НОД-5;71230;50°26'19'';81°42'50''
71240;Фестивальная;НОД-5;71240;50°18'2'';82°3'17''
71250;Аврора;НОД-5;71250;50°15'48'';82°4'12''
71260;Предгорная;НОД-5;71260;50°12'4'';82°4'18''
71270;Иртышский Завод;НОД-5;71270;50°8'47'';82°5'26''
71280;Глубочанка;НОД-5;71280;50°7'11'';82°7'12''
71290;Казиевка;НОД-5;71290;50°5'0'';82°10'41''
71300;Защита;НОД-5;71300;49°57'20'';82°25'25''
71310;Коршуново;НОД-5;71310;50°1'39'';82°44'38''
71320;Турыш;НОД-11;71320;45°54'46'';56°13'9''
71330;Ульба-Перевалочная;НОД-5;71330;50°8'11'';82°57'36''
71340;Черемшанка;НОД-5;71340;50°13'5'';83°7'42''
71350;Тишинская;НОД-5;71350;50°15'29'';83°13'31''
71360;Лениногорск;НОД-5;71360;50°20'58'';83°23'16''
71370;Усть-Каменогорск;НОД-5;71370;49°50'45'';82°31'20''
71380;Новоустькаменогорск;НОД-5;71380;49°44'53'';82°38'34''
71383;Ермаковка;НОД-5;71383;49°43'20'';82°44'23''
71390;Усть-Каменогорск (перев.);НОД-5;71390;49°52'44'';82°40'7''
71400;Огневка;НОД-5;71400;49°41'24'';82°51'39''
71401;Оп 76 км;НОД-5;71401;49°41'28'';82°58'54''
71410;Серебрянка;НОД-5;71410;49°41'35'';83°14'27''
71413;Селезневка;НОД-5;71413;49°41'38'';83°27'36''
71420;Бухтарма;НОД-5;71420;49°41'32'';83°35'40''
71430;Заводинка;НОД-5;71430;49°45'24'';83°46'20''
71431;Оп 148 км;НОД-5;71431;49°46'31'';83°48'4''
71440;Бухтарма (перев.);НОД-5;71440;49°35'57'';83°42'29''
71450;Тургусун;НОД-5;71450;49°49'30'';83°52'43''
71451;Оп 174 км;НОД-5;71451;49°46'30'';83°58'6''
71460;Зыряновск;НОД-5;71460;49°43'30'';84°3'29''
71470;Жаркум (рзд);НОД-11;71470;46°8'35'';56°38'24''
71480;РАЗЪЕЗД 18;НОД-4;71480;47°4'34'';61°51'40''
71490;РАЗЪЕЗД 4;НОД-4;71490;47°41'35'';66°24'34''
71510;ЛУГОВАЯ-ЭКСП(В_КАЗА;НОД-8;70450;42°59'12'';72°43'5''
81020;ИЛЕЦК_I-ЭКСП_РФ.;НОД-12;66690;51°15'47'';54°56'45''
84330;ЛОКОТЬ-ЭКСП_РФ;НОД-6;71100;51°21'43'';80°54'6''
84530;ЛОКОТЬ-ЭКСП_РФ;НОД-6;71100;51°21'43'';80°54'6''
